Time;x;y;z;7c:9e:bd:f9:c3:72;7c:9e:bd:f0:91:c6;7c:9e:bd:f1:d3:e6;7c:9e:bd:f0:87:de;7c:9e:bd:f1:d6:92;7c:9e:bd:f8:d5:de;7c:9e:bd:f1:e3:96;7c:9e:bd:f9:ad:76
02/01/2021 14:56;79,0;0,0;2,9;-77,0;-89;-86;-88;-70,0;-83;-67,0;-200,0
02/01/2021 14:56;79,0;0,0;2,9;-76,0;-90;-88;-90;-70,0;-83;-68,0;-200,0
02/01/2021 14:56;79,0;0,0;2,9;-76,0;-89;-88;-200;-70,0;-82;-68,0;-200,0
02/01/2021 14:57;79,0;0,0;2,9;-77,0;-89;-88;-88;-71,0;-82;-68,0;-200,0
02/01/2021 14:57;79,0;0,0;2,9;-79,0;-90;-87;-88;-71,0;-83;-72,0;-200,0
02/01/2021 14:57;78,0;0,0;2,9;-78,0;-81;-91;-80;-77,0;-82;-58,0;-87,0
02/01/2021 14:57;78,0;0,0;2,9;-81,0;-88;-91;-80;-74,0;-83;-58,0;-88,0
02/01/2021 14:57;78,0;0,0;2,9;-79,0;-82;-89;-86;-78,0;-80;-58,0;-90,0
02/01/2021 14:57;78,0;0,0;2,9;-78,0;-83;-91;-81;-75,0;-81;-59,0;-87,0
02/01/2021 14:57;78,0;0,0;2,9;-82,0;-88;-91;-82;-83,0;-81;-61,0;-93,0
02/01/2021 14:58;77,0;0,0;2,9;-79,0;-91;-82;-80;-82,0;-84;-58,0;-93,0
02/01/2021 14:58;77,0;0,0;2,9;-79,0;-92;-82;-81;-81,0;-83;-59,0;-91,0
02/01/2021 14:58;77,0;0,0;2,9;-79,0;-87;-81;-83;-80,0;-82;-58,0;-90,0
02/01/2021 14:58;77,0;0,0;2,9;-87,0;-89;-91;-80;-81,0;-84;-59,0;-93,0
02/01/2021 14:58;77,0;0,0;2,9;-79,0;-91;-89;-82;-80,0;-83;-58,0;-91,0
02/01/2021 14:58;76,0;0,0;2,9;-84,0;-84;-92;-85;-70,0;-80;-66,0;-92,0
02/01/2021 14:58;76,0;0,0;2,9;-84,0;-89;-84;-82;-71,0;-79;-66,0;-93,0
